Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Flat Things; Top; No Filter,10,198,91,142,142,1102,88,1102,0.000%,.00305,0.22,0.00
Flat Things; Top; Filter 1StationCode;,10,331,317,448,448,475,226,475,0.000%,.00305,0.01,0.00
Flat Things; Top; Filter DSTime;,10,133375,129204,134417,134417,170905,124285,170905,0.000%,.00293,0.31,0.00
Flat Things; Top; Filter ObsTime;,10,179160,179134,179184,179184,179279,179131,179279,100.000%,.00292,0.00,0.00
"Flat Things; Top; Filter DSTime, 2DepId",10,3328,2120,4509,4509,10295,1797,10295,0.000%,.00308,0.28,0.00
"Flat Things; Top; Filter DSTime, 2DepId; Count",10,1160,1141,1476,1476,1535,748,1535,0.000%,.00309,0.28,0.00
"Flat Things; Top; Filter DSTime, 2DepId; Order StationCode",10,986,909,1194,1194,1206,846,1206,0.000%,.00309,0.30,0.00
"Flat Things; Top; Filter DSTime, 1DepId, ResultCode;",10,25402,25102,27232,27232,27382,22847,27382,0.000%,.00306,0.28,0.00
"Flat Things; Top; Filter DSTime, 2RivBasId;",10,2314,2306,2613,2613,2912,1846,2912,0.000%,.00308,0.34,0.00
"Flat Things; Top; Filter DSTime, 2StationCode; Order StationCode",10,485,550,570,570,577,254,577,0.000%,.00308,0.01,0.00
"Flat Things; Top; Filter DSTime, 1ObsProp",10,793,839,972,972,1024,456,1024,0.000%,.00308,0.29,0.00
"Flat Things; Top; Filter DSTime, 1ObsProp; Select",10,164,172,203,203,209,116,209,0.000%,.00308,0.20,0.00
"Flat Things; Top; Filter DSTime, 1ObsProp; Select; Count",10,208,179,274,274,317,149,317,0.000%,.00308,0.20,0.00
"Flat Things; Top; Filter DSTime, 2DepId, 1ObsPropId",10,743,792,894,894,951,493,951,0.000%,.00308,0.29,0.00
"Flat Things; Top; Filter DSTime, 2DepId, 1ObsPropId; Count",10,1053,960,1299,1299,1334,916,1334,0.000%,.00308,0.29,0.00
Flat Things; Top; Filter BBox,10,142,131,175,175,221,108,221,0.000%,.00308,0.25,0.00
Flat Things; Top; Filter BBox; Count,10,99,92,131,131,158,75,158,0.000%,.00308,0.25,0.00
Flat ObservedProperties; Filter ThingId,10,55,52,59,59,77,48,77,0.000%,.00308,0.06,0.00
Flat ObservedProperties; Filter ThingName,10,53,49,59,59,80,44,80,0.000%,.00308,0.06,0.00
Flat ObservedProperties; Filter 1StationCode,10,258,239,341,341,341,159,341,0.000%,.00308,0.06,0.00
Flat ObservedProperties; Filter ThingId; Select,10,46,43,49,49,80,40,80,0.000%,.00308,0.02,0.00
Flat Features; Filter ThingId,10,141,154,168,168,171,95,171,0.000%,.00308,0.03,0.00
Flat Features; Filter ThingName,10,108,120,126,126,127,74,127,0.000%,.00308,0.03,0.00
Flat Features; Filter 1StationCode,10,11627,11650,12338,12338,12634,10729,12634,0.000%,.00307,0.03,0.00
Flat Features; Filter ThingId; Select,10,119,90,132,132,276,74,276,0.000%,.00308,0.02,0.00
"Flat Observations; Filter 1StationCode, 1ObsProp",10,347,262,473,473,519,242,519,0.000%,.00308,0.02,0.00
"Datastreams+Observations; Filter 1StationCode, 1ObsProp",10,394,362,501,501,502,260,502,0.000%,.00308,0.03,0.00
"Datastreams+Observations; Filter 1ThingId, 1ObsProp",10,61,62,65,65,74,49,74,0.000%,.00308,0.03,0.00
"Datastreams+Observations; Filter 1StationCode, 1ObsProp; Select",10,441,453,513,513,520,296,520,0.000%,.00308,0.02,0.00
"Datastreams+Observations; Filter 1StationCode, 1ObsProp, (1Phentime)",10,432,458,504,504,514,248,514,0.000%,.00308,0.03,0.00
"Datastreams+Observations; Filter 1StationCode, 1ObsProp, (1YearPhentime)",10,367,337,446,446,483,235,483,0.000%,.00308,0.01,0.00
TOTAL,310,11754,362,12338,129200,179163,40,179279,3.226%,.08507,3.78,0.03
